Time (seconds),Moisture,Temp,Light
24.48,75,20,0
24.56,84,20,0
24.66,82,20,0
24.76,79,20,0
24.86,80,20,0
24.96,91,20,0
25.06,92,20,0
25.16,90,20,0
25.26,88,20,0
25.36,81,20,0
25.46,90,20,0
25.56,91,20,0
25.66,90,20,0
25.76,90,20,0
25.86,87,20,0
48.26,84,17,0
48.36,87,17,0
48.46,83,17,0
48.56,89,17,0
48.66,85,17,0
48.76,72,17,0
48.86,73,17,0
48.96,73,17,0
49.06,90,17,0
49.16,94,17,0
49.26,92,17,0
49.36,92,17,0
49.46,88,17,0
49.56,77,17,0
49.66,69,17,0
49.76,87,17,0
49.86,88,17,0
49.96,81,17,0
50.06,87,17,0
50.16,90,17,0
50.26,86,17,0
50.36,88,17,0
50.46,88,17,0
50.56,90,17,0
50.66,86,17,0
50.76,88,17,0
50.86,91,17,0
50.96,89,17,0
51.06,91,17,0
51.16,91,17,0
51.26,92,17,0
51.36,91,17,0
51.46,93,17,0
51.56,92,17,0
51.66,92,17,0
51.76,93,17,0
51.86,95,17,0
51.96,94,17,0
52.06,92,17,0
52.16,87,17,0
52.26,88,17,0
52.36,93,17,0
52.46,87,17,0
52.56,89,17,0
52.66,85,17,0
52.76,84,17,0
52.86,90,17,0
52.96,88,17,0
53.06,81,17,0
53.16,76,17,0
53.26,83,17,0
53.36,92,17,0
53.46,90,17,0
53.56,92,17,0
53.66,80,17,0
53.76,78,17,0
53.86,77,17,0
53.96,70,17,0
54.06,72,17,0
54.16,72,17,0
54.26,73,17,0
54.36,74,17,0
54.46,88,17,0
54.56,82,17,0
54.66,77,17,0
54.76,77,17,0
54.86,77,17,0
54.96,86,17,0
55.06,90,17,0
55.16,85,17,0
55.26,88,17,0
55.36,90,17,0
55.46,87,17,0
55.56,91,16,0
55.66,88,16,0
55.76,90,16,0
55.86,89,16,0
55.96,91,16,0
56.06,89,16,0
56.16,89,16,0
56.26,90,16,0
56.36,87,16,0
56.46,90,16,0
56.56,91,16,0
56.66,89,16,0
56.76,91,16,0
56.86,85,16,0
56.96,97,16,0
57.06,88,16,0
57.16,85,16,0
57.26,86,16,0
57.36,85,16,0
57.46,83,16,0
57.56,75,16,0
57.66,82,16,0
57.76,90,16,0
57.86,86,16,0
57.96,89,16,0
58.06,88,16,0
58.16,89,16,0
58.26,91,16,0
58.36,86,16,0
58.46,89,16,0
58.56,88,16,0
58.66,92,16,0
58.76,93,16,0
58.86,90,16,0
58.96,84,16,0
59.06,82,16,0
59.16,74,16,0
59.26,74,16,0
59.36,74,16,0
59.46,71,16,0
59.56,72,16,0
59.66,79,16,0
59.76,89,16,0
59.86,87,16,0
59.96,88,16,0
60.06,91,16,0
60.16,89,16,0
60.26,91,16,0
60.36,88,16,0
60.46,89,16,0
60.56,89,16,0
60.66,91,16,0
60.76,92,16,0
60.86,92,16,0
60.96,94,16,0
61.06,96,16,0
61.16,94,16,0
61.26,93,16,0
61.36,95,16,0
61.46,101,16,0
61.56,96,16,0
61.66,99,16,0
61.76,99,16,0
61.86,88,16,0
61.96,90,16,0
62.06,87,16,0
62.16,89,16,0
62.26,84,16,0
62.36,88,16,0
62.46,88,16,0
62.56,89,16,0
62.66,91,16,0
62.76,90,16,0
62.86,82,16,0
62.96,87,16,0
63.06,89,16,0
63.16,88,16,0
63.26,86,16,0
63.36,87,16,0
63.46,94,16,0
63.56,91,16,0
63.66,94,16,0
63.76,89,16,0
63.86,89,16,0
